StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
AQZ,637093632.0,593607104.0,2.1334665,2.232846,1.988,7.466,0.09032,0.154,0.07795,0.11963,298619008.0,1.94,0.057,93502000.0,79512000.0,26972000.0,0.175,98788000.0,0.623,62713000.0,22.234,2.975,1.778,44045000.0,14368250.0,0.55686283,4.08,0.97,3.8335483,3.5356522,226178.0,105716.0,160476992.0,85384576.0
ASB,924064064.0,693629504.0,0.4429835,1.2220638,0.333,4.387,0.04265,0.05783,0.05594,0.129,2086001024.0,5.856,0.047,239294000.0,158119008.0,88978000.0,0.247,396667008.0,1.114,175256000.0,23.407,1.994,2.103,164472000.0,122608752.0,-0.34605598,4.54,2.25,2.6218183,3.0309286,1503330.0,1297789.0,359558016.0,306855445.0
ASH,63349440.0,57725396.0,0.18806927,2.4581006,0.171,6.546,0.01385,0.022969998,0.09466,0.19327,336840992.0,2.34,0.101,15173000.0,8818000.0,4667000.0,0.032,8063000.0,0.056,2439000.0,9.443,1.566,0.179,14125000.0,12952125.0,0.0,0.475,0.2,0.3982258,0.35336956,67497.0,147705.0,143976000.0,26084115.0
AVA,134076352.0,123747304.0,2.9064262,5.138889,2.683,16.075,0.107130006,0.13785,0.13204001,0.21646999,46131000.0,0.197,0.722,22076000.0,7698000.0,4942000.0,0.02,7703000.0,0.033,713000.0,2.805,2.709,0.108,5956000.0,3923625.0,2.8275864,0.785,0.08,0.56241935,0.45601448,1224252.0,1231402.0,241579008.0,123086230.0
AYS,224283616.0,260642176.0,0.4572532,2.459547,0.531,8.398,0.0018799999,0.01481,0.01513,0.00661,490502016.0,1.662,0.003,97479000.0,31038000.0,648000.0,0.003,45015000.0,0.155,85601000.0,95.589,0.756,0.309,29594000.0,42189000.0,1.375,0.81,0.24,0.7505645,0.6976268,2090862.0,6283157.0,295110016.0,271381377.0
AZJ,6862094336.0,10883978240.0,2.2391484,1.6256591,3.552,7.447,0.20097,0.30372998,0.05975,0.13394,3064600064.0,1.569,0.055,1509800000.0,1461600000.0,605100032.0,0.315,29300000.0,0.015,3829100032.0,87.87,0.486,2.276,1247399936.0,516137504.0,-0.31226766,5.625,3.38,3.91,4.1993527,7715861.0,6905408.0,1854620032.0,1851268154.0
BIN,2113292160.0,2461244928.0,4.415303,2.458143,5.142,18.202,0.13791999,0.16451,0.03607,0.07834,478628992.0,0.731,0.073,185975000.0,135218000.0,66014000.0,0.1,56848000.0,0.087,406368992.0,47.312,1.767,1.314,128946000.0,-98398000.0,0.18315017,3.47,1.47,2.7530303,2.4732144,1530385.0,1703264.0,654270016.0,425012213.0
BOL,66304972.0,105772000.0,0.35737175,0.5762082,0.57,10.018,-0.091400005,-0.03211,-0.01904,-0.13614,185535008.0,0.43,0.005,138097000.0,10558000.0,-16959000.0,-0.039,2131000.0,0.005,41598000.0,36.086,0.918,0.269,28755000.0,33273868.0,0.24000001,0.19,0.072,0.1733871,0.12963043,215407.0,124393.0,427774016.0,317032020.0
BPP,23231990.0,29220846.0,1.350726,3.0000002,1.699,32.058,-0.10335,-0.03341,-0.02089,-0.35237,17199632.0,0.024,0.439,3364008.0,911496.0,-1777623.0,-0.002,3563601.0,0.004,10175271.0,129.82,1.02,0.009,906478.0,-4215350.0,0.58823526,0.038,0.013,0.034,0.028695652,1192381.0,1505103.0,860444032.0,447125780.0
BSA,138660800.0,117169544.0,0.28524747,4.2666664,0.241,9.244,-0.0019699999,0.01708,0.03483,0.22872,486107008.0,1.128,-0.163,56966000.0,12675000.0,7802000.0,-0.002,37742000.0,0.087,16466000.0,50.997,1.017,0.075,31285000.0,14953875.0,-0.17948717,0.41,0.23,0.33596775,0.30278987,223170.0,249303.0,433315008.0,317979127.0
