StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
DXN,16974562.0,28457136.0,3.2658014,1.1428572,5.475,-4.104,-2.42234,-1.65504,-0.1985,-0.79191,5197671.0,0.011,31.862,1410502.0,-6934170.0,-12590529.0,-0.026,3606028.0,0.003,15254321.0,102.215,1.565,0.014,-6030563.0,-6073373.0,-0.64444447,0.049,0.008,0.017,0.021018116,2420870.0,2569533.0,1060910016.0,826196620.0
ELO,568776448.0,447636512.0,11.363937,3.1724796,8.944,-23.267,-0.37194002,-0.43695,-0.07682,-0.15867,50051000.0,0.684,0.179,42071000.0,-19239000.0,-18616000.0,-0.254,139887008.0,1.633,18747000.0,10.459,3.096,2.093,6418000.0,-9462500.0,-0.047345757,8.39,3.66,6.6471877,6.10777,207888.0,173172.0,86416200.0,39434030.0
ELS,59337188.0,45978008.0,76.41326,23.421053,59.21,-14.119,0.0,-4.3002,-0.56486,-1.3122001,776530.0,0.008,-0.592,451165.0,-3256548.0,-3402376.0,-0.034,1786809.0,0.017,142429.0,7.058,2.633,0.019,-2412684.0,-1378888.0,0.15584421,0.73,0.21,0.43370968,0.5175307,285300.0,200692.0,133342000.0,53823998.0
EML,1393037824.0,478557536.0,11.516612,3.1402936,3.956,33.217,-0.0484,0.052249998,0.00332,-0.02001,120959000.0,0.398,0.236,88075000.0,14407000.0,-5854000.0,-0.019,951788032.0,2.645,44998000.0,10.204,0.755,1.226,22070000.0,1041755008.0,-0.25387597,5.7,1.2,4.0025,3.4403598,2325699.0,1406338.0,361828000.0,299853976.0
EOL,157294096.0,156968736.0,7.746951,8.410326,7.731,48.9,0.08112001,0.14564,0.06534,0.119049996,20304000.0,0.911,0.096,8032000.0,3210000.0,1647000.0,0.073,3534000.0,0.138,2109000.0,11.283,0.861,0.736,5060000.0,4821750.0,0.7685715,6.6,1.4,6.110484,4.6677175,13239.0,6998.0,25809100.0,6011030.0
EPD,112211400.0,136061472.0,0.67740315,1.6393443,0.821,16.975,0.037100002,0.03878,0.03452,0.09441,165649360.0,1.036,-0.07,26237534.0,8015259.0,6145986.0,0.037,6316968.0,0.039,30431582.0,44.569,1.239,0.427,23811272.0,9662675.0,0.7948718,0.77,0.21,0.6776613,0.57327896,189699.0,113110.0,160302000.0,138457469.0
EVS,169313120.0,148824176.0,7.207574,1.3414634,6.335,-8.556,-0.77629995,-0.78268,-0.13291,-0.26369,23491000.0,0.038,5.95,7028000.0,-17394000.0,-18236000.0,-0.029,24656000.0,0.024,4407000.0,3.498,1.657,0.123,-11259000.0,-1346875.0,-0.2826087,0.255,0.07,0.17806453,0.18233696,872002.0,896795.0,1026140032.0,795637865.0
FCT,112409616.0,95279200.0,13.620653,7.0833335,11.545,-6.5,-1.66941,-1.80221,-0.45134997,-1.2321,8252880.0,0.025,-0.106,4481881.0,-14659225.0,-13777481.0,-0.042,15281338.0,0.024,464271.0,3.023,2.226,0.024,-8700779.0,-8618555.0,0.36,0.2,0.054444,0.16419356,0.13775724,778505.0,1309679.0,661233024.0,489798857.0
FZO,186916592.0,156060128.0,36.72107,32.333336,30.659,-11.418,0.0,-3.46668,-0.75818,-2.8550298,5090173.0,0.022,0.328,2841680.0,-13667423.0,-17617120.0,-0.075,5807193.0,0.018,1654777.0,37.552,1.448,0.015,-8276974.0,-5484293.0,2.1290324,0.635,0.063,0.46596774,0.462971,920582.0,979571.0,385395008.0,206251347.0
GSW,60299120.0,33457088.0,2.4156003,1.2173913,1.34,-1.074,-1.25529,-1.36043,-0.27458,-0.50368,24962376.0,0.132,12.933,11923291.0,-31143052.0,-31335070.0,-0.166,33949124.0,0.177,1628662.0,3.232,2.418,0.23,-26790436.0,-18888792.0,-0.34042555,0.965,0.215,0.3075,0.4977305,158805.0,85677.0,215354000.0,73566248.0
HRL,71597664.0,72918696.0,2.177337,2.685185,2.218,14.735,0.021070002,0.08027001,0.04468,0.026180001,32883136.0,0.066,0.005,10891546.0,4948599.0,692969.0,0.001,3747000.0,0.008,5068000.0,19.02,1.003,0.054,8823486.0,6249682.0,0.20833337,0.18,0.069,0.13758065,0.11562319,278105.0,143215.0,493776992.0,341165505.0
HSC,30187840.0,25017086.0,10.9251585,8.0,9.054,-9.569,-1.3836999,-1.03844,-0.44775,-1.75162,2763149.0,0.002,36.619,-1334492.0,-2614491.0,-3823381.0,-0.003,2042524.0,0.001,253427.0,9.662,1.868,0.002,-2212608.0,-1846739.0,1.4615386,0.023,0.002,0.016612904,0.015336957,7602144.0,5530088.0,1886739968.0,1166001917.0
HSN,769367616.0,902154112.0,2.552909,3.0376763,2.994,21.359,0.08547,0.1257,0.04329,0.102749996,301368992.0,1.522,0.321,105250000.0,42237000.0,25757000.0,0.129,44492000.0,0.224,179488000.0,71.086,1.612,1.274,69629000.0,49170476.0,0.0720222,4.42,2.62,3.79875,3.7041008,352831.0,125322.0,198803008.0,158329941.0
HTG,201439552.0,187496336.0,17.42057,14.137931,16.215,-34.108,-0.53183,-0.52168,-0.272,-0.78695,11563315.0,0.035,539.158,4627478.0,-5497087.0,-6016328.0,-0.019,11323888.0,0.024,6782688.0,53.651,2.642,0.029,-1077315.0,2273470.0,5.9491525,0.5,0.055,0.34725806,0.31297103,747404.0,1260149.0,491316000.0,253817421.0
HWH,12826142.0,9392850.0,18.865524,4.083333,13.816,-3.82,0.0,-3.7913,-0.64106005,-2.01825,679872.0,0.003,-0.412,-674361.0,-2458664.0,-2683801.0,-0.012,3477104.0,0.013,43826.0,1.403,3.524,0.012,-1103690.0,119063.0,0.39999998,0.072,0.011,0.04703226,0.046971016,765464.0,1676487.0,261758000.0,127028401.0
HYD,42258060.0,28931974.0,2.6597693,8.965517,1.821,-22.915,-0.20264,-0.09042,-0.060599998,-1.87588,15887867.0,0.215,-0.054,14311229.0,-1262587.0,-3219461.0,-0.043,1690194.0,0.021,9920379.0,432.078,1.21,0.029,-1316565.0,-211351.0,0.106382966,0.81,0.073,0.25532258,0.26766303,307051.0,646111.0,162531008.0,53768118.0
ICE,18500400.0,15563485.0,15.663756,5.8695655,13.177,-3.866,-2.71759,-3.4683301,-0.79514,-1.93447,1181096.0,0.01,-0.314,-2049733.0,-4026048.0,-3209738.0,-0.026,2641715.0,0.019,15836.0,0.567,3.006,0.023,-2939584.0,-2406199.0,-0.41304344,0.32,0.105,0.15532258,0.14728262,102971.0,234437.0,137040000.0,32293498.0
ID8,20491786.0,14632515.0,18.772387,10.384616,13.405,-2.051,0.0,-6.62639,-0.95154,-2.205,1091592.0,0.019,0.61,-1821910.0,-7135424.0,-7074479.0,-0.122,1411309.0,0.013,1323748.0,125.103,1.338,0.013,-4657603.0,-2267779.0,-0.55,0.49,0.08,0.15612903,0.16463768,970952.0,883478.0,151791008.0,79358654.0
