,MSE,rf_n_estimators,rf_max_depth,rf_max_leaves,rf_min_samples_split,rf_n_bins,scalers
252,1.791575018225755,50,100,100,2,32,StandardScaler
253,1.7911179190934612,50,100,100,2,32,MinMaxScaler
254,1.7915090095369723,50,100,100,2,32,QuantileTransformer
255,1.791519275810148,50,100,100,2,128,StandardScaler
256,1.7911195772902857,50,100,100,2,128,MinMaxScaler
257,1.7915886584651617,50,100,100,2,128,QuantileTransformer
258,1.7916154020580637,50,100,100,2,512,StandardScaler
259,1.7911763525514697,50,100,100,2,512,MinMaxScaler
260,1.7917006777936266,50,100,100,2,512,QuantileTransformer
261,1.7916443390248582,50,100,100,10,32,StandardScaler
262,1.791162733982457,50,100,100,10,32,MinMaxScaler
263,1.791552504834217,50,100,100,10,32,QuantileTransformer
264,1.7915588031183944,50,100,100,10,128,StandardScaler
265,1.7911265581472742,50,100,100,10,128,MinMaxScaler
266,1.7915923670040734,50,100,100,10,128,QuantileTransformer
267,1.7916186354494097,50,100,100,10,512,StandardScaler
268,1.791164111811486,50,100,100,10,512,MinMaxScaler
269,1.79168433334171,50,100,100,10,512,QuantileTransformer
270,1.7916254115974712,50,100,100,20,32,StandardScaler
271,1.7911114631725709,50,100,100,20,32,MinMaxScaler
272,1.7914956298070142,50,100,100,20,32,QuantileTransformer
273,1.7915025427656486,50,100,100,20,128,StandardScaler
274,1.79102786749147,50,100,100,20,128,MinMaxScaler
275,1.7914965577818267,50,100,100,20,128,QuantileTransformer
276,1.791523387117649,50,100,100,20,512,StandardScaler
277,1.79104880484091,50,100,100,20,512,MinMaxScaler
278,1.7915661264173497,50,100,100,20,512,QuantileTransformer
279,1.7914974808438606,50,100,100,50,32,StandardScaler
280,1.790993143225053,50,100,100,50,32,MinMaxScaler
281,1.7913446465356406,50,100,100,50,32,QuantileTransformer
282,1.7913374769694812,50,100,100,50,128,StandardScaler
283,1.7908691838102353,50,100,100,50,128,MinMaxScaler
284,1.7913219242180825,50,100,100,50,128,QuantileTransformer
285,1.7913360311097437,50,100,100,50,512,StandardScaler
286,1.7908600246950317,50,100,100,50,512,MinMaxScaler
287,1.7913626151630997,50,100,100,50,512,QuantileTransformer
288,1.791323326670375,50,400,1000,2,32,StandardScaler
289,1.7909003374259111,50,400,1000,2,32,MinMaxScaler
290,1.791280662725849,50,400,1000,2,32,QuantileTransformer
291,1.7912931237792658,50,400,1000,2,128,StandardScaler
292,1.7909217036422749,50,400,1000,2,128,MinMaxScaler
293,1.7913654498317515,50,400,1000,2,128,QuantileTransformer
294,1.7913942504630724,50,400,1000,2,512,StandardScaler
295,1.7909811755553098,50,400,1000,2,512,MinMaxScaler
296,1.7914774775520856,50,400,1000,2,512,QuantileTransformer
297,1.7914255715898566,50,400,1000,10,32,StandardScaler
298,1.790971724341461,50,400,1000,10,32,MinMaxScaler
299,1.7913415370120795,50,400,1000,10,32,QuantileTransformer
300,1.7913481595788356,50,400,1000,10,128,StandardScaler
301,1.7909401507493854,50,400,1000,10,128,MinMaxScaler
302,1.7913813638770495,50,400,1000,10,128,QuantileTransformer
303,1.7914073598378912,50,400,1000,10,512,StandardScaler
304,1.790978869535145,50,400,1000,10,512,MinMaxScaler
305,1.791470665079187,50,400,1000,10,512,QuantileTransformer
306,1.7914153595214042,50,400,1000,20,32,StandardScaler
307,1.7909303474811005,50,400,1000,20,32,MinMaxScaler
308,1.7912934401837657,50,400,1000,20,32,QuantileTransformer
309,1.7913002811841967,50,400,1000,20,128,StandardScaler
310,1.790852220437651,50,400,1000,20,128,MinMaxScaler
311,1.7912952490424556,50,400,1000,20,128,QuantileTransformer
312,1.7913209051598378,50,400,1000,20,512,StandardScaler
313,1.790872810284407,50,400,1000,20,512,MinMaxScaler
314,1.7913619101644742,50,400,1000,20,512,QuantileTransformer
315,1.791297351337775,50,400,1000,50,32,StandardScaler
316,1.7908210100846764,50,400,1000,50,32,MinMaxScaler
317,1.7911535052946943,50,400,1000,50,32,QuantileTransformer
318,1.791147018818686,50,400,1000,50,128,StandardScaler
319,1.7907046097867938,50,400,1000,50,128,MinMaxScaler
320,1.7911328922653953,50,400,1000,50,128,QuantileTransformer
321,1.7911465165897298,50,400,1000,50,512,StandardScaler
322,1.7906966951807357,50,400,1000,50,512,MinMaxScaler
323,1.7911722284143925,50,400,1000,50,512,QuantileTransformer
324,1.7911353579615776,50,400,500,2,32,StandardScaler
325,1.7907355616682314,50,400,500,2,32,MinMaxScaler
326,1.791095566084283,50,400,500,2,32,QuantileTransformer
327,1.791107631885778,50,400,500,2,128,StandardScaler
328,1.7907565162173218,50,400,500,2,128,MinMaxScaler
329,1.7911766188244516,50,400,500,2,128,QuantileTransformer
330,1.7912041531664935,50,400,500,2,512,StandardScaler
331,1.7908135347109817,50,400,500,2,512,MinMaxScaler
332,1.7912834854952917,50,400,500,2,512,QuantileTransformer
333,1.7912346458462889,50,400,500,10,32,StandardScaler
