StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
GLB,228050896.0,212698000.0,1.503084,5.0925922,1.402,44.055,0.040209997,0.02437,0.029409999,151722000.0,3.659,-0.09,70343000.0,4828000.0,6101000.0,0.147,25997000.0,0.627,10644000.0,23.769,2.38,1.08,23216000.0,19849624.0,2.0898876,5.55,1.05,3.8441935,2.2789493,12029.0,7199.0,41463800.0,5748958.0
GLE,8892000.0,72479000.0,0.049941868,0.16574585,0.407,7.897,0.02132,0.03121,0.021879999,178047008.0,2.403,0.193,39155000.0,9178000.0,3796000.0,0.051,7614000.0,0.103,71201000.0,132.791,1.17,0.724,3836000.0,41755752.0,0.0,0.125,0.1,0.12,0.117572464,4417.0,0.0,74100000.0,7411482.0
HLO,331759936.0,331546592.0,1.1756741,1.239861,1.175,14.888,-0.24761999,-0.00585,-0.00153,282187008.0,2.281,-0.532,238780000.0,22269000.0,-69874000.0,-0.565,131861000.0,0.851,130278000.0,60.125,1.127,1.726,-41439000.0,-49056124.0,-0.46633416,4.34,0.67,2.4645162,2.131837,443167.0,380000.0,155028000.0,69088159.0
HVN,6653693440.0,7812154368.0,2.8993227,1.9305857,3.404,9.949,0.20938998,0.31261,0.08438,2294913024.0,1.871,-0.003,739642000.0,785206016.0,480540992.0,0.391,343432000.0,0.276,1470928000.0,42.3,1.653,2.766,1056963968.0,873738880.0,0.25352108,5.55,2.325,4.9669695,4.504,3172048.0,2881776.0,1246009984.0,315239683.0
IDZ,4377100.0,24566692.0,0.8750548,0.3939394,4.911,-20.729,-1.0876,-0.54475,-0.04563,5002087.0,0.016,-0.581,3718270.0,-1185131.0,-4360318.0,-0.018,234150.0,0.001,20423740.0,182.46,0.294,0.033,-383429.0,945241.0,0.8571428,0.039,0.001,0.013806452,0.010507247,946386.0,3286177.0,336700000.0,145885419.0
IVC,1607720704.0,1823919488.0,3.304688,2.8934405,3.749,16.435,0.00987,0.17591,0.03279,486496992.0,4.039,-0.057,375282000.0,110980000.0,4800000.0,0.038,180743008.0,1.27,414934016.0,75.406,1.967,3.857,65756000.0,48885400.0,-0.17394525,15.79,9.07,11.532121,10.615857,447281.0,584305.0,144060992.0,140109106.0
JAY,17799040.0,16153985.0,5.4998727,16.11111,4.992,-2.684,-2.1904202,-2.1167,-0.74096,3236264.0,0.035,-0.534,-309344.0,-6018895.0,-7088795.0,-0.076,963459.0,0.009,2198826.0,237.471,0.978,0.009,-4445432.0,-3130775.0,-0.5245902,0.31,0.07,0.1433871,0.15739131,79277.0,13335.0,122752000.0,68101950.0
JBH,5947492864.0,6437612032.0,0.75105035,5.378701,0.813,11.986,0.03817,0.06101,0.105579995,7918900224.0,68.92,0.207,1694100000.0,537100032.0,302300000.0,2.607,251500000.0,2.189,741600000.0,67.071,0.926,9.625,981299968.0,880587520.0,0.30173492,55.25,20.79,49.735455,47.959785,484840.0,363340.0,114883000.0,113371507.0
JIN,876156672.0,809282048.0,12.311105,11.099683,11.371,21.666,0.36369,0.51936,0.21877001,71168000.0,1.142,-0.031,65842000.0,37352000.0,25883000.0,0.411,72259000.0,1.157,5385000.0,6.823,3.224,1.264,28242000.0,18879384.0,0.06449163,15.76,6.99,14.056666,12.944357,279871.0,151121.0,62448800.0,50772713.0
KGN,1901704832.0,1755851648.0,3.8194206,11.357323,3.526,38.347,0.05386,0.08243,0.12887,497904000.0,5.295,0.345,126530000.0,45788000.0,26820000.0,0.28,146726000.0,1.389,2440000.0,1.488,2.324,1.584,45633000.0,35799876.0,2.5908182,25.57,3.45,19.549063,19.837553,1244644.0,1174450.0,105709000.0,83425441.0
