StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
NOR,5987760,6342191,6.8823643000,,7.2900000000,-3.5430000000,-2.1737800000,-2.0817199000,-1.4458100000,,870015,.0040000000,1.2310000000,-1118436,-1790224,-1891225,-.0090000000,152730,.0010000000,546791,,.2720000000,-.0030000000,-1329075,-517760,-.5000000000,.0700000000,.0190000000,.0249354840,.0276666670,242814,170703,249490000,207242767
NVO,19871830,,,,,,,,,,,,,-1765729,,,,,,,,,,,,,.0200000000,.0050000000,.0102571430,.0107860430,2162833,2097964,,
NWS,14905960448,16203226112,1.6967512000,1.8786237000,1.8440000000,19.4750000000,-.1147400000,.0474700030,.0170200000,-.1407900000,8785000448,14.9250000000,-.0950000000,4081000000,832000000,-1008000000,-1.7130000000,1539000064,2.6060000000,2576000000,30.4710000000,1.2550000000,12.9350000000,908000000,851000000,.1626794300,25.2700000000,13.1000000000,23.4629040000,21.3262310000,188109,137005,590585024,509255904
NZM,132137176,134640864,,.6975560000,,,-.4791799800,.0000000000,.0407900000,-.8138800000,,,-.1750000000,70742000,,,.0590000000,,,,142.6830000000,1.1230000000,.9820000000,,,.8266667000,.7400000000,.1550000000,.6614516400,.5126449500,231365,920787,196556000,124950649
OML,937984064,1890868480,1.7063036000,1.1732051000,3.4400000000,14.5130000000,-.0266899990,.1005700000,.0174399990,-.0202200000,549716992,1.6300000000,-.3280000000,464821000,130285000,-14673000,-.0440000000,125123000,.2110000000,1078912000,135.0560000000,.8610000000,1.3510000000,334484000,263347632,-.5167683000,3.3450000000,.5500000000,1.6587878000,1.3148215000,3276609,1351443,591788032,475194153
OPC,698343232,,,,,,,,,,,,,57618000,,,,,,,,,,,,,6.8900000000,3.0000000000,6.6623335000,5.6023164000,318673,0,,
OTW,219721536,196889072,2.5063198000,2.7715356000,2.2460000000,12.8770000000,.0574100000,.0868200000,.0438000000,.0751400000,87667000,1.6980000000,-.0110000000,20940000,15290000,5033000,.0970000000,10692000,.2070000000,16474000,23.8940000000,1.1260000000,1.3350000000,11639000,5376625,-.1474654700,5.0000000000,1.8300000000,3.9641936000,4.1710143000,48082,71197,59384200,26470394
PIN,5656280,6375214,.7785480600,,.8780000000,-1.6760000000,-.5288400000,-.5276500000,-.9556400000,,7265165,.0540000000,-.1100000000,4437074,-3803088,-3842140,-.0290000000,450729,.0030000000,1175901,,.3030000000,-.0160000000,-2717562,-1364436,-.6190476400,.1100000000,.0250000000,.0417096760,.0416811600,50490,51938,141466000,62954187
REA,19319955456,19424595968,21.9082620000,22.3563480000,22.0270000000,46.8250000000,.1274300000,.4572600000,.1588900000,.1272200000,881857024,6.6950000000,-.0670000000,630070000,414833984,112373000,.8530000000,222844992,1.6920000000,327152000,37.8430000000,1.1740000000,6.5610000000,419145984,312702624,.3060279000,154.9700000000,62.0500000000,146.4168700000,127.2956100000,185817,180168,132117000,49918554
REF,371442,325631,116.1845500000,2.0000000000,101.8550000000,-1.7780000000,452.1479800000,-57.2902680000,-.0947000000,-.2491400000,3197,.0000000000,-.9250000000,,-183157,-179960,.0160000000,45811,.0000000000,0,,9.9770000000,.0020000000,-617164,665446,.0000000000,.0040000000,.0040000000,.0040000000,.0040000000,0,0,92860600,47702471
RMY,150478560,147092768,20.2857900000,51.4285740000,19.8290000000,-15.2970000000,-1.3058700000,-1.3074299000,-1.1655500000,-3.4126500000,7417930,.0180000000,.0510000000,-3691773,-9615486,-9686831,-.0240000000,3996104,.0100000000,610306,21.8430000000,1.8520000000,.0070000000,-8887417,-5442648,-.1724137700,.6750000000,.1600000000,.2979032000,.2719203000,316584,550342,463451008,145579647
RNT,14734123,13937599,6.0084367000,7.1666670000,5.6840000000,-8.5170000000,-.6790600000,-.6755400300,-.4258700300,-1.0372700000,2452239,.0080000000,.1320000000,597209,-1636366,-1665215,-.0060000000,631771,.0020000000,116689,6.5000000000,1.2200000000,.0060000000,-758830,-741016,-.1371698400,.0657840000,.0250000000,.0459354860,.0462318850,381238,616091,342654016,184615016
SDA,189395392,866514624,.2622053600,,1.2000000000,10.6980000000,-.6367300000,-.0331200000,-.0146400000,-11.6384100000,722316992,3.0140000000,.1460000000,199229000,80999000,-459920992,-1.9190000000,58430000,.2440000000,732064000,,.3380000000,-.8600000000,38053000,12255500,.0000000000,.8100000000,.7700000000,.7900000000,.7900000000,0,0,239740992,180966291
SKT,267402016,261941936,,.0831025000,,,-.2099600000,.0000000000,.0567600020,-.4315599800,,,-.0750000000,240910000,,,-.4240000000,,,,56.6750000000,.7670000000,1.8050000000,,,-.7777778000,.6750000000,.1150000000,.1491935600,.1407789900,803811,508822,1746279936,1501433701
SLC,347572672,388851104,3.2321818000,.8804448000,3.6160000000,43.4660000000,-.3820900000,-.3088899900,-.0395800000,-.1109100000,107535000,.3230000000,-.0420000000,54413000,8946000,-41088000,-.1230000000,17090000,.0470000000,58368000,14.7840000000,1.2930000000,1.0790000000,12890000,-49841672,.1242603100,1.2720000000,.4350000000,1.0162500000,1.0248921000,805991,479969,365865984,290044260
SLM,133774216,,,,,,,,,,,,,129785000,,,,,,,,,,,,,.8900000000,.6550000000,.6700000000,.6718125300,0,0,,
