StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
AJY,16320000,14824991,,8.0000000000,,-.6990000000,.0000000000,.0000000000,-4.3880600000,-1.0218900000,,,,,-21198082,-1334396,-.0120000000,221866,.0020000000,0,,.8660000000,.0150000000,-195326,-11466929,.0000000000,.1200000000,.1200000000,.1200000000,.1200000000,0,0,136000000,22642640
AKM,50763700,9608322,,.6451613000,,-2.1960000000,.0000000000,.0000000000,-.0566100000,-.0860700000,,,,,-4374452,-5440715,-.0130000000,40712948,.0800000000,70492,.0900000000,239.0000000000,.1550000000,-3675663,-3791185,-.1304348100,.1550000000,.0510000000,.1014193500,.0832753600,377007,601159,507636992,136183774
AKN,1865168,3884836,-204.9860400000,,-426.9520000000,-4.2190000000,.0000000000,101.3127800000,-3.6158700000,,-9099,.0000000000,-.9800000000,-37896,-920800,-1195626,-.0010000000,156574,.0000000000,2176241,,.0550000000,-.0030000000,-427473,-134292,.0000000000,.0020000000,.0020000000,.0020000000,.0020000000,0,0,932584000,179970149
AL8,32773508,26497054,173404.8000000000,2.4444444000,140196.0600000000,-16.5220000000,.0000000000,-8941.3070000000,-.0931000040,-.1578400000,189,.0000000000,-.8780000000,-227426,-1603787,-1702261,-.0090000000,2302446,.0090000000,0,,6.7660000000,.0450000000,-1384600,-1608209,4.7894740000,.2100000000,.0130000000,.1119032300,.1228043500,391003,401489,297940992,158567432
ALD,6534832640,8659549184,.3258718800,2.5834155000,.4320000000,57.7730000000,-.0198900000,-.0110599995,-.0186900000,-.1407400000,20053379072,79.7820000000,-.2190000000,1918342000,149890000,-398836992,-1.5870000000,18100000,.0720000000,2129200000,83.7210000000,1.1640000000,10.1300000000,506359008,380330144,-.2250518200,35.0300000000,18.3200000000,28.7854540000,27.2943940000,811888,1533552,249707008,247929627
ALK,473334272,431490880,6.5243390000,1.7245120000,5.9480000000,14.7800000000,.1759100000,.2706400000,.0425799970,.0554600000,72549000,.1330000000,,30609000,29195000,13345000,.0230000000,48337000,.0810000000,6605000,2.4700000000,4.8680000000,.4610000000,28536000,-160832256,-.0185185070,1.5400000000,.4650000000,.8962121000,1.1333214000,2465536,1568242,595388992,374727034
AGG,12688000000,4170282240,3.2483360000,.8437068000,1.0680000000,2.7010000000,.0755200000,.2493600100,.0823700060,.2151700000,3905999872,9.3200000000,.2640000000,903000000,1544000000,617000000,.7000000000,1292000000,3.1010000000,2884999936,94.6520000000,2.6470000000,7.2300000000,1308000000,67000000,.0099337100,14.0000000000,4.8000000000,6.0480647000,7.2879710000,24559,15234,2080000000,412937533
AJM,209036800,363400384,2.2043784000,1.7500000000,3.8320000000,30.8410000000,-.4987700000,.0146300010,.0026400000,-.5019700000,94828000,.0440000000,123.1760000000,7438000,11783000,-44900000,-.0220000000,2476000,.0010000000,192192000,192.6620000000,.2170000000,.0400000000,-32296000,-96478496,.1111110450,.0740000000,.0270000000,.0700000000,.0691884100,0,0,2986240000,1195187387
ALY,11428132,10554742,,1.4166667000,,-27.2470000000,.0000000000,.0000000000,-.0407700000,-.0658800000,,,,,-387375,-390897,-.0010000000,873397,.0010000000,0,,4.0650000000,.0120000000,-399094,-758353,.5454546000,.0340000000,.0090000000,.0170000000,.0185452680,934890,1999106,672243008,283827908
AMD,10803779,10344583,,1.0000000000,,-5.1650000000,.0000000000,.0000000000,-.4321900300,-.6788000000,,,,,-2003003,-6993446,-.0090000000,1810647,.0010000000,115757,1.0910000000,4.9180000000,.0090000000,-1597273,-784212,.2857141500,.0230000000,.0030000000,.0076612905,.0081521740,4264597,4820977,1334640000,816543836
