StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
CLH,49681800,119728544,.3290730000,.6769826000,.7930000000,2.4810000000,-.9608900000,.2759000000,.0643500000,-.9598800000,150975008,1.0740000000,-.3200000000,128236000,48266000,-145070000,-1.0320000000,182196992,1.2880000000,252423008,345.2220000000,.8340000000,.5170000000,65349000,16081375,-.6666666000,1.0900000000,.2600000000,.6262903000,.9819565400,416639,925859,141948000,136795335
CLQ,234774352,158793952,201.0054300000,4.6491227000,135.9540000000,-8.3490000000,.0000000000,-148.9666100000,-.7257000000,-1.4141900000,1168000,.0020000000,-.7120000000,-11007000,-19019000,-197482000,-.2650000000,40083000,.0540000000,1351000,3.2100000000,7.9840000000,.0570000000,3453000,15655625,.0816326140,.3850000000,.1050000000,.2785484000,.2565942000,1296125,2654339,885940992,570556858
CLT,24318210,28556756,.2527223800,.9545454400,.2970000000,-50.7220000000,-.0246600000,-.0134000005,-.0166400000,-.0980400000,96225000,.9090000000,-.2530000000,18112000,-563000,-2373000,-.0220000000,6936000,.0300000000,11072000,43.5890000000,1.7540000000,.1100000000,3625000,2537250,-.4166667000,.1800000000,.0300000000,.0988064500,.0591594200,3279595,2912953,232602000,45534244
CLX,52844432,145249968,.2446706300,.6250000000,.6730000000,9.5930000000,-.0201400000,.0288500000,.0205800010,-.0505900000,215981920,2.8790000000,.0540000000,42739429,15140912,-4348839,-.0580000000,7611064,.1010000000,101842392,124.7850000000,.9600000000,1.0880000000,23332148,18065370,-.1499999800,.8650000000,.4400000000,.7112903600,.6086232000,16140,3040,77712400,35881113
CUP,137067600,137497488,1.6592734000,1.9480520000,1.6640000000,15.0300000000,.1920100000,.0819999950,.0196300000,.2502300000,82607000,.7450000000,.3400000000,29859000,9148000,15861000,.1420000000,25842000,.2320000000,20093000,25.7230000000,1.0810000000,.6160000000,12437000,9324250,.0041841270,1.3400000000,.7000000000,1.2019355000,1.0249456000,35150,40405,114223000,97856588
CVL,214196848,324083936,.5466046000,.8952381600,.8270000000,9.1450000000,.0448800000,.0637300000,.0302999990,.0802800000,391868000,.7820000000,.7740000000,44651000,35438000,17586000,.0350000000,27712000,.0550000000,116448000,44.2640000000,1.0150000000,.5250000000,95201000,19824624,.0681818700,.5350000000,.3500000000,.4485483800,.4293478000,25035,31892,501084992,215363432
CWY,4568427008,5546357760,1.9589326000,1.7745802000,2.3780000000,14.0380000000,.0484100020,.0833600000,.0281300000,.0440900000,2332100096,1.1370000000,.0010000000,596800000,395100000,112900000,.0550000000,79800000,.0390000000,1065400000,41.4390000000,.9050000000,1.2510000000,401500000,206475008,.1269035300,2.6650000000,1.3950000000,2.3912122000,2.3050714000,5876727,8379765,2057849984,2046037143
CYG,96312200,151709568,.3890348700,.9410730600,.6130000000,24.3440000000,.0032000000,.0165700000,.0137100010,.0077899997,247567008,2.7570000000,.1080000000,93094000,6232000,791000,.0090000000,7542000,.0840000000,63156000,61.8450000000,1.4900000000,1.1370000000,14786000,15224891,.0190477370,1.1300000000,.4650000000,.9990322600,.8426087000,40059,49753,90011400,54422423
D13,22257466,,,,,,,,,,,,,605322,,,,,,,,,,,,,.0410000000,.0410000000,.0410000000,.0410000000,0,0,,
DCG,72093280,74604384,.1597429700,.5118830000,.1650000000,-1.6680000000,-.3111499800,-.1064100000,-.0831600000,-.5090100000,451308000,15.5650000000,,-1125000,-44735000,-95666000,-4.8430000000,43930000,.3410000000,46442000,32.9940000000,1.2850000000,1.0940000000,-101584000,-98297752,-.6403824700,1.6951900000,.2562500000,.6051613000,.5867029000,264679,195689,128738000,87710680
DDT,9934960,9080350,2.6320780000,4.0000000000,2.4060000000,17295.9040000000,.0077400000,-.0172800010,-.0181800000,.0289400000,3774569,.0040000000,.2470000000,2176818,525,29203,.0000000000,1005325,.0010000000,0,,3.5980000000,.0020000000,-463110,-569575,.1428572000,.0110000000,.0030000000,.0070483870,.0067101450,1471247,1171723,1241869952,574568287
DEM,56179516,50806060,4.4122270000,6.9565215000,3.9900000000,-13.6230000000,-.2816200000,-.3193500000,-.2501300000,-.6229700000,12732689,.0780000000,.6970000000,2582203,-3729505,-3585836,-.0220000000,6265114,.0360000000,929052,11.4480000000,2.3330000000,.0460000000,-1800929,-2391590,.3333333700,.3400000000,.1000000000,.2679838800,.2309963700,242879,410969,175560992,108077342
DOW,3125530624,5608349696,.2452800900,1.3305827000,.4400000000,10.3970000000,-.0117900000,.0159400000,.0152100000,-.0550800000,12742700032,21.5140000000,-.0390000000,1352900000,539400000,-157700000,-.2660000000,607500032,1.0250000000,2835899904,108.2200000000,1.0720000000,3.8780000000,178800000,-105912496,-.2882759000,7.5800000000,2.5850000000,5.4124240000,4.7931520000,2264844,1304935,789865984,586972750
DTI,7369494,4991594,.5232059000,1.4666667000,.3540000000,-2.1010000000,-.1939100000,-.1923600000,-.1195199900,-.5266400000,14085266,.0470000000,.3190000000,1423607,-2375393,-2731270,-.0090000000,2701353,.0080000000,358530,7.0360000000,1.4340000000,.0150000000,-1163498,-246307,.1000000240,.0310000000,.0130000000,.0210645160,.0223550720,23661,141111,334976992,161990598
EAX,8045771,11699075,.4067274000,2.5409837000,.5910000000,8.4060000000,-.1257100000,.0624200000,.0506400020,-.5608700000,19781728,.7620000000,-.1680000000,5568628,1391685,-2486756,-.0960000000,3195898,.1230000000,6849197,215.8110000000,2.2210000000,.1220000000,3013733,1873470,.2400000100,.3250000000,.0930000000,.3045161400,.2588768000,6942,0,25954100,3839912
ECL,42911860,25616120,.7157703000,.8700765000,.4270000000,4.9100000000,.0613600000,.0857699960,.0556300020,.0747200000,59952000,2.0680000000,.0150000000,17163000,5217000,3679000,.1270000000,19233000,.6630000000,1946000,3.9470000000,5.1720000000,1.7010000000,8022000,5173875,.0000000000,1.4850000000,.8000000000,.8194285600,.8047887700,0,0,28994500,10599627
ECT,9601031,7607304,109.7837800000,,86.9860000000,-2.9310000000,.0000000000,-32.3187500000,-.6317500000,,87454,.0000000000,-.9950000000,-757201,-2595244,-2067973,.0000000000,1104781,.0000000000,868165,98.5510000000,7.6730000000,.0000000000,-1806915,-1806470,.0000000000,.0020000000,.0010000000,.0010806452,.0011956522,2890085,2817200,9601030144,3344020109
ECX,543382912,1876735616,.8059096000,1.0532838000,2.7830000000,7.5360000000,.0270000000,.0960000000,.0188900000,.0611000020,674248000,2.1350000000,,169661000,249028992,30230000,.0560000000,55776000,.1770000000,1396856960,274.7090000000,1.4200000000,1.6140000000,416819008,90282248,.0691823960,1.9800000000,.3650000000,1.7635938000,1.6173022000,1108698,370044,319636992,283329766
EDE,74797192,66658792,30.7663170000,4.0000000000,27.4190000000,-9.0250000000,.0000000000,-3.5686200000,-.2351300100,-.4952600000,2431139,.0010000000,.4140000000,1871567,-7385672,-9105991,-.0050000000,1388683,.0010000000,5998005,38.1250000000,1.3780000000,.0090000000,-7375690,-6513043,.0285713670,.0430000000,.0190000000,.0285161290,.0269492750,4441919,13690675,2077699968,993153462
EGL,8090225,10930371,.2161673600,.4696969700,.2920000000,-10.0890000000,-.0351500030,-.0368200000,-.0288700010,-.0824900000,37425748,.1720000000,-.1380000000,12897982,-1083424,-1315675,-.0060000000,763961,.0040000000,5038593,35.2770000000,.8820000000,.0660000000,1139868,1923372,-.1842105400,.0470000000,.0230000000,.0320000000,.0303995070,222993,284826,260975008,69153331
EGN,184894784,186025760,1.0238827000,1.9601328000,1.0300000000,12.5510000000,.0743300000,.0648600000,.0572900030,.1554800000,180582000,.5760000000,.0530000000,94848000,14821000,13423000,.0430000000,15105000,.0480000000,22065000,24.9060000000,2.8730000000,.3010000000,14093000,-4446125,-.0923076900,.6500000000,.3800000000,.5891936000,.5557246000,11589,6000,313380992,29620767
EGY,24798336,29341688,2.4469743000,.9062500000,2.8950000000,-10.8280000000,-.4343899800,-.3108500000,-.0727500000,-.2924200000,10134286,.1180000000,-.2940000000,2491495,-2709891,-4402220,-.0510000000,27676,.0000000000,8481634,64.8630000000,.5820000000,.1600000000,483741,-929600,-.4200000200,.2500000000,.0750000000,.1139677400,.0873550800,90882,49810,171023008,81862981
EHL,609341568,837734400,1.1275146000,1.1336032000,1.5500000000,3.7640000000,.1223600000,.2120400000,.0771300000,.2381700000,540428992,1.6520000000,.2240000000,244859000,222571008,66132000,.1980000000,198168992,.5480000000,630899968,176.6010000000,1.4260000000,.9880000000,181972992,29399876,-.4909091000,2.5500000000,.4850000000,1.1428125000,.9615586400,2095421,1555686,544054976,260739013
EMB,24815390,30914250,.3431135400,1.3362770000,.4270000000,7.0830000000,.0298200000,.0539400020,.0716900000,.1202999950,72324136,33.5170000000,.4590000000,18704333,4364579,2156598,.9990000000,24574,.0110000000,6123468,32.9720000000,1.4850000000,8.6060000000,2434748,1834938,.0360360150,12.0000000000,9.9600000000,11.3354840000,10.9912320000,80,220,2157860,243514
ENE,16985840,19079680,.6397409000,,.7190000000,-11.9490000000,-.1879100000,-.0642600000,-.0805500000,,26551124,.3940000000,-.0970000000,9780510,-1596769,-1244612,-.0740000000,229005,.0020000000,2322845,,.8380000000,-.0180000000,-122970,5350525,.0967742200,.2350000000,.0350000000,.1338285700,.0839290800,27906,129008,99916704,33743869
EOS,779306624,664531968,4.2248850000,2.1973850000,3.6030000000,2919.4030000000,-.0158200000,-.0242600010,-.0094900000,-.0161900000,184456288,1.7590000000,.3220000000,75887947,227626,-2917192,-.0280000000,128135768,.8620000000,19556288,5.5670000000,4.4230000000,2.3710000000,-95106408,-99128640,-.5023877600,10.8000000000,2.9500000000,5.7806250000,5.8064027000,733946,650089,149579008,114839557
EVZ,11534004,12798107,.1741646500,.5429864000,.1930000000,-5.8090000000,-.0415500030,-.0573100000,-.0523600020,-.1217599960,66224712,.6890000000,-.2270000000,6877390,-2203258,-2751440,-.0290000000,5869679,.0610000000,7133778,33.6420000000,1.0050000000,.2210000000,3873412,2391991,-.2727273000,.2500000000,.0660000000,.1162903200,.1028260900,120407,8214,96116704,62530664
FBR,113316848,91343104,229.8949900000,1.7333333000,185.3150000000,-8.2730000000,.0000000000,-23.6433200000,-.1271500000,-.2068300100,492907,.0000000000,,,-11040857,-10996775,-.0070000000,5081787,.0030000000,2930541,5.5060000000,2.3490000000,.0300000000,-9364759,-19898538,.1304347500,.1050000000,.0100000000,.0465967730,.0545253640,3331306,3016185,2179170048,1328105256
FLC,146840688,130856696,1.5445858000,3.1333332000,1.3760000000,-13.4530000000,-.1233300050,-.1119300000,-.0501300000,-.2992700000,95068000,.1590000000,1.4200000000,8421000,-9727000,-11725000,-.0230000000,20489000,.0330000000,3747000,7.8610000000,1.2060000000,.0750000000,-19423000,-19403000,-.3648649000,.3950000000,.1700000000,.2414516000,.2274999900,837410,425853,624854016,292119261
FLN,233358848,222189360,3.9636996000,8.1746025000,3.7740000000,-270.3030000000,-.0490399970,-.0397300000,-.0157900000,-.0958699960,58874000,.1310000000,.0300000000,48554000,-822000,-2887000,-.0060000000,37055000,.0820000000,26040000,90.5680000000,.8510000000,.0630000000,7261000,7547000,.0729166300,.7500000000,.2300000000,.4970967800,.5350724500,136291,476457,453124000,73532309
