StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
CVF,1458888,,,,,,.0000000000,.0000000000,,,,,,,,,,,,,,,,,,-.9787879000,1.1900000000,.0130000000,.2949428600,.7217817000,268700,0,69470896,
CVW,275666368,849712000,.9622165000,.5718270500,2.9660000000,-96.7560000000,.0456600000,-.0331900000,-.0023900000,-.0030000000,286491008,.4560000000,-.7880000000,91953000,-8782000,13081000,.0210000000,304976992,.4830000000,61804000,4.8030000000,25.8620000000,.7170000000,191542000,-1599000,-.0352941750,.4650000000,.1850000000,.4203225700,.3699094400,96919,64299,672356992,256924644
CWP,567625408,710614208,2.1776469000,1.4935204000,2.7260000000,20.5920000000,.0801800000,.1252000000,.0334800000,.0553400000,260660000,3.2440000000,-.2290000000,51882000,34509000,20899000,.2580000000,2691000,.0330000000,147756992,39.0180000000,2.7550000000,4.7070000000,-15491000,13532250,-.1320988000,8.4000000000,2.8700000000,6.4462500000,5.8054676000,74150,40117,80743296,52686086
DGH,51955700,47652688,34.2489780000,.8831711000,31.4120000000,-58.1130000000,1.4878000000,-.5754800000,-.0062599997,.0385100020,1517000,.0370000000,1.2470000000,1484000,-820000,2257000,.0550000000,10203000,.2490000000,5900000,10.0320000000,10.2430000000,1.4380000000,-199000,-14958750,-.1241380000,1.4900000000,1.0950000000,1.2896774000,1.2775363000,3647,5000,40910000,10358000
DJW,674286016,735889984,21.5172480000,.9861933000,23.4830000000,,.5391400000,.8735700000,.0216400000,.0238800000,31337000,.1400000000,-.2710000000,37151000,,16895000,.0750000000,3603000,.0160000000,65207000,9.5380000000,.0590000000,3.0420000000,19526000,17975000,-.1124260400,3.4600000000,2.0200000000,3.0902858000,2.7613380000,104690,147962,224762000,216167101
DUI,1017726464,1054376512,27.5858960000,1.2618545000,28.5790000000,,.8150599600,.9693699500,.0209900000,.0362299980,36893000,.1740000000,-.3570000000,36893000,,30070000,.1420000000,33092000,.1560000000,72500000,9.0150000000,27.2070000000,3.7960000000,32562000,22752624,-.0680933600,5.2700000000,3.1500000000,4.8300000000,4.4742956000,42510,41991,212468992,197836226
DVN,18254066,56236012,1.1545899000,.2527472400,3.5570000000,-8.2490000000,-1.1371300000,-.4340300000,-.0318600000,-.2227599900,15810000,.1000000000,-.1520000000,4172000,-6817000,-18080000,-.1130000000,1760000,.0110000000,39742000,55.0650000000,2.4000000000,.4550000000,-905000,6207500,-.1785714000,.2000000000,.0790000000,.1229032300,.1029565200,25306,75053,158731008,47795358
DXS,9812430848,14716931072,6.5917172000,.8118580600,9.8860000000,15.1940000000,.6603500000,.6477900000,.0353000000,.0824200000,1488600064,1.3590000000,-.2040000000,1067900000,968600000,983000000,.8860000000,31800000,.0290000000,4917000192,40.6020000000,1.1790000000,11.0980000000,729900032,-140484784,-.2860538400,13.5100000000,8.0300000000,9.3096880000,9.1343890000,3457927,2778652,1089059968,1086106249
EAI,176682848,,,,,,.0000000000,.0000000000,,,,,,,,,,,,,,,,,,.1960785400,1.4455000000,.8300000000,1.2135530000,1.1530800000,87454,31397,144822000,
EAS,41750208,50403212,.5776576400,1.1884369000,.6970000000,11.1290000000,.0204800010,.0459100000,.0430900000,.0514500000,72275000,2.0950000000,.2610000000,9384000,4529000,1480000,.0430000000,1000000,.0290000000,9727000,27.2560000000,1.7560000000,.9340000000,2340000,-1497500,.2265193500,1.2700000000,.6500000000,1.1751612000,.9597101000,19934,4672,37612800,10555185
